repo id                                        repo name
1password                                      1Password Stable Channel
copr:copr.fedorainfracloud.org:phracek:PyCharm Copr repo for PyCharm owned by phracek
docker-ce-stable                               Docker CE Stable - x86_64
fedora                                         Fedora 43 - x86_64
fedora-cisco-openh264                          Fedora 43 openh264 (From Cisco) - x86_64
google-chrome                                  google-chrome
hashicorp                                      Hashicorp Stable - x86_64
rpmfusion-nonfree-nvidia-driver                RPM Fusion for Fedora 43 - Nonfree - NVIDIA Driver
rpmfusion-nonfree-steam                        RPM Fusion for Fedora 43 - Nonfree - Steam
shells_zsh-users_zsh-autosuggestions           zsh-autosuggestions (Fedora_Rawhide)
sublime-text                                   Sublime Text - x86_64 - stable
teams-for-linux                                Repo for the unofficial Teams for Linux package
updates                                        Fedora 43 - x86_64 - Updates
